fecha,titulo,descripcion,color,mes,año
2025-11-20,Captura de calificaciones,Captura de calificaciones de segundo parcial por personal docente,#0ba14b,11,2025
2025-11-21,Termina captura de calificaciones,Termina la captura de calificaciones de segundo parcial por personal docente,#0ba14b,11,2025
2025-12-01,Entrega de informes CEMSAD,"Entrega de informe final de alumnos a distancia, proyectos de HFA, HC y/o talleres.",#8e44ad,12,2025
2025-12-08,Entrega de informes CEMSAD,"Entrega de ECA's, horarios y solicitud de proyectos HFA y/o talleres semestre Feb-Jul 2026, el 2do informe trimestral (octubre-diciembre) de caja de herramientas yo no abandono, círculo de lecturas y 4to informe trimestral de actividades.",#8e44ad,12,2025
2025-12-11,Entrega expedientes digitales,Segunda entrega de expedientes digitales completos de nuevo ingreso gen 2025-2028,#797d7f,12,2025
2025-12-12,Entrega expedientes digitales,Segunda entrega de expedientes digitales completos de nuevo ingreso gen 2025-2028,#797d7f,12,2025
2025-12-16,Tercer parcial,Inicia la aplicación de la tercera evaluación parcial,#b7950b,12,2025
2025-12-17,Tercer parcial,Aplicación de la tercera evaluación parcial,#b7950b,12,2025
2025-12-18,Tercer parcial,Termina la aplicación de la tercera evaluación parcial,#b7950b,12,2025
2025-12-16,Evaluaciones a TS,Inicia la aplicación de evaluaciones a Título de Suficiencia de alumnos que arrastraron asignaturas el semestre febrero - julio 2025,#b7950b,12,2025
2025-12-17,Evaluaciones a TS,Aplicación de evaluaciones a Título de Suficiencia de alumnos que arrastraron asignaturas el semestre febrero - julio 2025,#b7950b,12,2025
2025-12-18,Evaluaciones a TS,Termina la aplicación de evaluaciones a Título de Suficiencia de alumnos que arrastraron asignaturas el semestre febrero - julio 2025,#b7950b,12,2025
2025-12-19,Vacaciones,Inicia periodo vacacional de diciembre,#117a65,12,2025
2025-12-20,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-21,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-22,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-23,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-24,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-25,Suspensión,Suspensión de labores,#ff6900,12,2025
2025-12-25,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-26,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-27,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-28,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-29,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-30,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2025-12-31,Vacaciones,Continua periodo vacacional de diciembre,#117a65,12,2025
2026-01-01,Suspensión,Suspensión de labores,#ff6900,1,2026
2026-01-01,Vacaciones,Continua periodo vacacional de diciembre,#117a65,1,2026
2026-01-02,Vacaciones,Continua periodo vacacional de diciembre,#117a65,1,2026
2026-01-05,Vacaciones,Termina periodo vacacional de diciembre,#117a65,1,2026
2026-01-06,Suspensión,Suspensión de labores,#ff6900,1,2026
2026-01-07,Inicio de actividades,Inicio de actividades académicas,#4287f5,01,2026
2026-01-07,Recuperación R1,Inicia periodo de recuperación R1,#b7950b,01,2026
2026-01-08,Recuperación R1,Periodo de recuperación R1,#b7950b,01,2026
2026-01-09,Recuperación R1,Termina periodo de recuperación R1,#b7950b,01,2026
2026-01-12,Periodo extraordinario,Inicia periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-13,Periodo extraordinario,Periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-14,Periodo extraordinario,Periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-15,Periodo extraordinario,Periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-16,Periodo extraordinario,Periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-19,Periodo extraordinario,Periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-20,Periodo extraordinario,Periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-21,Periodo extraordinario,Periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-22,Periodo extraordinario,Periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-23,Periodo extraordinario,Termina periodo extraordinario (Regularización y Cursos Intersemestrales),#cd0e79,01,2026
2026-01-23,Fin de Semestre,Agosto 2025 - Enero 2026,#4287f5,1,2026
2026-01-12,Inicia captura calificaciones, Captura de tercer parcial y Recuperación R1,#0b0daf,1,2026
2026-01-13,Captura calificaciones, Captura de tercer parcial y Recuperación R1,#0b0daf,1,2026
2026-01-14,Captura calificaciones, Captura de tercer parcial y Recuperación R1,#0b0daf,1,2026
2026-01-15,Captura calificaciones, Captura de tercer parcial y Recuperación R1,#0b0daf,1,2026
